ABAM,Abies amabilis,Pacific silver fir
ABBA,Abies balsamea,balsam fir
ABCO,Abies concolor,white fir
ABGR,Abies grandis,grand fir
ABLA,Abies lasiocarpa,subalpine fir
ABFR3,Abutilon fruticosum,Texas Indian mallow
ACKO,Acacia koa,koa
ACKO2,Acacia koaia,koaoha
ACAN11,Acaciella angustissima,prairie acacia
ACAN,Acacia angustissima,
ACANH2,Acaciella angustissima,prairie acacia
ACANH,Acacia angustissima,
ACCI,Acer circinatum,vine maple
ACGI,Acer ginnala,Amur maple
ACGL,Acer glabrum,Rocky Mountain maple
ACMA3,Acer macrophyllum,bigleaf maple
ACNE2,Acer negundo,boxelder
ACRU,Acer rubrum,red maple
ACSA2,Acer saccharinum,silver maple
ACSA3,Acer saccharum,sugar maple
ACMI2,Achillea millefolium,common yarrow
ACMIO,Achillea millefolium,western yarrow
ACHY,Achnatherum hymenoides,Indian ricegrass
ACLE8,Achnatherum lemmonii,Lemmon's needlegrass
ACNE9,Achnatherum nelsonii,Columbia needlegrass
ACOC3,Achnatherum occidentale,western needlegrass
ACSP12,Achnatherum speciosum,desert needlegrass
ACTH7,Achnatherum thurberianum,Thurber's needlegrass
ACSP3,Achyranthes splendens,Maui chaff flower
ACCA4,Acorus calamus,calamus
AEAM,Aeschynomene americana,shyleaf
AECA,Aesculus californica,California buckeye
AEGL,Aesculus glabra,Ohio buckeye
AGSC,Agastache scrophulariifolia,purple giant hyssop
AGGR,Agoseris grandiflora,bigflower agoseris
AGHE2,Agoseris heterophylla,annual agoseris
AGCR,Agropyron cristatum,crested wheatgrass
AGDE2,Agropyron desertorum,desert wheatgrass
AGFR,Agropyron fragile,Siberian wheatgrass
AGEX,Agrostis exarata,spike bentgrass
AGGI2,Agrostis gigantea,redtop
ALSU,Alisma subcordatum,American water plantain
ALBIB,Allium bisceptrum,twincrest onion
ALHY,Allium hyalinum,glassy onion
ALUN,Allium unifolium,oneleaf onion
ALGL2,Alnus glutinosa,European alder
ALIN2,Alnus incana,gray alder
ALINR,Alnus incana,speckled alder
ALRU2,Alnus rubra,red alder
ALSE2,Alnus serrulata,hazel alder
ALVIS,Alnus viridis,Sitka alder
ALAR,Alopecurus arundinaceus,creeping meadow foxtail
ALDE,Alyssum desertorum,desert madwort
AMAL2,Amelanchier alnifolia,Saskatoon serviceberry
AMALS,Amelanchier alnifolia,Saskatoon serviceberry
AMAR3,Amelanchier arborea,common serviceberry
AMCA4,Amelanchier canadensis,Canadian serviceberry
AMUT,Amelanchier utahensis,Utah serviceberry
AMBR,Ammophila breviligulata,American beachgrass
AMCA6,Amorpha canescens,leadplant
AMFR,Amorpha fruticosa,false indigo bush
AMBR2,Amphicarpaea bracteata,American hogpeanut
AMMU2,Amphicarpum muehlenbergianum,Muhlenberg maidencane
ANCA4,Andropogon capillipes,chalky bluestem
ANGE,Andropogon gerardii,big bluestem
ANGL2,Andropogon glomeratus,bushy bluestem
ANGYG,Andropogon gyrans,Elliott's bluestem
ANHA,Andropogon hallii,sand bluestem
ANTE2,Andropogon ternarius,splitbeard bluestem
ANVI2,Andropogon virginicus,broomsedge bluestem
ANCA10,Anemopsis californica,yerba mansa
ANVI4,Anthaenantia villosa,green silkyscale
APAM,Apios americana,groundnut
APCA,Apocynum cannabinum,Indianhemp
AQCA,Aquilegia canadensis,red columbine
ARME,Arbutus menziesii,Pacific madrone
ARHU3,Arctomecon humilis,common bearpoppy
ARCO3,Arctostaphylos columbiana,hairy manzanita
ARNE,Arctostaphylos nevadensis,pinemat manzanita
ARPA6,Arctostaphylos patula,greenleaf manzanita
ARUV,Arctostaphylos uva-ursi,kinnikinnick
ARVI4,Arctostaphylos viscida,sticky whiteleaf manzanita
ARALT,Argemone albiflora,bluestem pricklypoppy
AREG,Argentina egedii,Pacific silverweed
AROL,Aristida oligantha,prairie threeawn
ARPU8,Aristida purpurascens,arrowfeather threeawn
ARPU9,Aristida purpurea,purple threeawn
ARPUW,Aristida purpurea,Wright's threeawn
ARRH,Aristida rhizomophora,Florida threeawn
ARST5,Aristida stricta,pineland threeawn
ARME6,Aronia melanocarpa,black chokeberry
AREL3,Arrhenatherum elatius,tall oatgrass
ARAR8,Artemisia arbuscula,little sagebrush
ARCA11,Artemisia californica,coastal sagebrush
ARCAC,Artemisia campestris,field sagewort
ARDO3,Artemisia douglasiana,Douglas' sagewort
ARDR4,Artemisia dracunculus,tarragon
ARFR4,Artemisia frigida,prairie sagewort
ARLU,Artemisia ludoviciana,white sagebrush
ARNO4,Artemisia nova,black sagebrush
ARTR2,Artemisia tridentata,big sagebrush
ARTRP2,Artemisia tridentata,big sagebrush
ARTRS2,Artemisia tridentata,big sagebrush
ARTRT,Artemisia tridentata,basin big sagebrush
ARTRV,Artemisia tridentata,mountain big sagebrush
ARTRW8,Artemisia tridentata,Wyoming big sagebrush
ARTRX,Artemisia tridentata,big sagebrush
ARGI,Arundinaria gigantea,giant cane
ARTE4,Arundinaria tecta,switchcane
ARGIT8,Arundinaria gigantea,
ASCA,Asarum canadense,Canadian wildginger
ASCO,Asclepias cordifolia,heartleaf milkweed
ASFA,Asclepias fascicularis,Mexican whorled milkweed
ASIN,Asclepias incarnata,swamp milkweed
ASME,Asclepias meadii,Mead's milkweed
ASSP,Asclepias speciosa,showy milkweed
ASSY,Asclepias syriaca,common milkweed
ASTU,Asclepias tuberosa,butterfly milkweed
ASVE2,Asclepias vestita,woolly milkweed
ASVI2,Asclepias viridis,green antelopehorn
ASWE3,Asclepias welshii,Welsh's milkweed
ASTR,Asimina triloba,pawpaw
ASAN7,Astragalus anserinus,Goose Creek milkvetch
ASCA11,Astragalus canadensis,Canadian milkvetch
ASCAB,Astragalus canadensis,shorttooth Canadian milkvetch
ASCI4,Astragalus cicer,chickpea milkvetch
ASCUP,Astragalus cusickii,Packard's milkvetch
ASDE2,Astragalus desereticus,deseret milkvetch
ASER4,Astragalus eremiticus,hermit milkvetch
ASAM14,Astragalus ampullarioides,
ASHO5,Astragalus holmgreniorum,Paradox milkvetch
ASHU,Astragalus humillimus,Mancos milkvetch
ASLIM,Astragalus limnocharis,Monti's milkvetch
ASOS,Astragalus osterhoutii,Kremmling milkvetch
ATAC,Atriplex acanthocarpa,tubercled saltbush
ATCA2,Atriplex canescens,fourwing saltbush
ATCO,Atriplex confertifolia,shadscale saltbush
ATLE,Atriplex lentiformis,big saltbush
AVST2,Avena strigosa,black oats
AVGE,Avicennia germinans,black mangrove
AXFI,Axonopus fissifolius,common carpetgrass
BAHA,Baccharis halimifolia,eastern baccharis
BAPI,Baccharis pilularis,coyotebrush
BAHO,Balsamorhiza hookeri,Hooker's balsamroot
BAMA4,Balsamorhiza macrophylla,cutleaf balsamroot
BASA3,Balsamorhiza sagittata,arrowleaf balsamroot
BAAU,Baptisia australis,blue wild indigo
BATI,Baptisia tinctoria,horseflyweed
BAPR5,Bassia prostrata,forage kochia
BASC5,Bassia scoparia,burningbush
KOSC,Kochia scoparia,
BESY,Beckmannia syzigachne,American sloughgrass
BEIN2,Berteroa incana,hoary alyssum
BEAL2,Betula alleghaniensis,yellow birch
BENI,Betula nigra,river birch
BEOC2,Betula occidentalis,water birch
BEPA,Betula papyrifera,paper birch
BEPO,Betula populifolia,gray birch
BIAR,Bidens aristosa,bearded beggarticks
BICA,Bignonia capreolata,crossvine
BOMA7,Bolboschoenus maritimus,cosmopolitan bulrush
SCMA8,Schoenoplectus maritimus,
BORO5,Bolboschoenus robustus,sturdy bulrush
SCRO5,Schoenoplectus robustus,
BOHI,Bommeria hispida,copper fern
BOBA3,Bothriochloa barbinodis,cane bluestem
BOBL,Bothriochloa bladhii,Caucasian bluestem
BOSA,Bothriochloa saccharoides,silver bluestem
BOBR,Bouteloua breviseta,gypsum grama
BOCU,Bouteloua curtipendula,sideoats grama
BOCUC,Bouteloua curtipendula,sideoats grama
BODA2,Bouteloua dactyloides,buffalograss
BUDA,Buchloe dactyloides,
BOER4,Bouteloua eriopoda,black grama
BOGR2,Bouteloua gracilis,blue grama
BOHI2,Bouteloua hirsuta,hairy grama
BOTR2,Bouteloua trifida,red grama
BRRAR,Brassica rapa,field mustard
BRCO3,Brodiaea coronaria,crown brodiaea
BRAR5,Bromus arvensis,field brome
BRBI2,Bromus biebersteinii,meadow brome
BRCA5,Bromus carinatus,California brome
BRHOH,Bromus hordeaceus,soft brome
BRIN2,Bromus inermis,smooth brome
BRMA4,Bromus marginatus,mountain brome
BRTE,Bromus tectorum,cheatgrass
BRVU,Bromus vulgaris,Columbia brome
BUDA2,Buddleja davidii,orange eye butterflybush
CACA27,Cajanus cajan,pigeonpea
CACA4,Calamagrostis canadensis,bluejoint
CAGI3,Calamovilfa gigantea,giant sandreed
CALO,Calamovilfa longifolia,prairie sandreed
CACI2,Calandrinia ciliata,fringed redmaids
CAAM2,Callicarpa americana,American beautyberry
CADE27,Calocedrus decurrens,incense cedar
CALU9,Calochortus luteus,yellow mariposa lily
CASU3,Calochortus superbus,yellow mariposa
CAVE3,Calochortus venustus,butterfly mariposa lily
CASE12,Calylophus serrulatus,yellow sundrops
CAQUB2,Camassia quamash,small camas
CAQUQ,Camassia quamash,small camas
CASA2,Camelina sativa,false flax
CARA2,Campsis radicans,trumpet creeper
CAEN4,Canavalia ensiformis,jack bean
CAAR18,Caragana arborescens,Siberian peashrub
CAAQ,Carex aquatilis,water sedge
CABA4,Carex barbarae,Santa Barbara sedge
CANE2,Carex nebrascensis,Nebraska sedge
CAOB3,Carex obnupta,slough sedge
CASP35,Carex specicola,Navajo sedge
CASP9,Carex specuicola,
CAVU2,Carex vulpinoidea,fox sedge
CAGI10,Carnegiea gigantea,saguaro
CAGI7,Carnegia gigantea,
CACA18,Carpinus caroliniana,American hornbeam
CAIL2,Carya illinoinensis,pecan
CALA21,Carya laciniosa,shellbark hickory
CAPU9,Castanea pumila,chinquapin
CACH19,Castilleja christii,Christ's Indian paintbrush
CABI8,Catalpa bignonioides,southern catalpa
CASP8,Catalpa speciosa,northern catalpa
CEAM,Ceanothus americanus,New Jersey tea
CECO,Ceanothus cordulatus,whitethorn ceanothus
CECU,Ceanothus cuneatus,buckbrush
CEFL4,Ceanothus flexilis,flexible ceanothus
CEHE,Ceanothus herbaceus,Jersey tea
CESC,Celastrus scandens,American bittersweet
CELA,Celtis laevigata,sugarberry
CEOC,Celtis occidentalis,common hackberry
CESP4,Cenchrus spinifex,coastal sandbur
CESO3,Centaurea solstitialis,yellow star-thistle
CEST8,Centaurea stoebe,spotted knapweed
CEOC2,Cephalanthus occidentalis,common buttonbush
CECA4,Cercis canadensis,eastern redbud
CEOR9,Cercis orbiculata,California redbud
CHDO,Chaenactis douglasii,Douglas' dustymaiden
CHFA2,Chamaecrista fasciculata,partridge pea
CHNI2,Chamaecrista nictitans,sensitive partridge pea
